地域コード,都道府県,市区町村,総人口,総人口（男）,総人口（女）,日本人人口,日本人人口（男）,日本人人口（女）,15歳未満人口,15歳未満人口（男）,15歳未満人口（女）,15〜64歳人口,15〜64歳人口（男）,15〜64歳人口（女）,65歳以上人口,65歳以上人口（男）,65歳以上人口（女）,75歳以上人口,75歳以上人口（男）,75歳以上人口（女）,外国人人口,出生数,死亡数,転入者数（日本人移動者）,転出者数（日本人移動者）,世帯数,一般世帯数,一般世帯人員数,核家族世帯数,単独世帯数,65歳以上の世帯員のいる核家族世帯数,夫65歳以上、妻60歳以上の夫婦のみの世帯数,65歳以上世帯員の単独世帯数,婚姻件数,離婚件数,総面積（北方地域及び竹島を除く）,可住地面積,事業所数（民営）,事業所数（民営）（農業、林業）,事業所数（民営）（漁業）,事業所数（民営）（鉱業、採石業、砂利採取業）,事業所数（民営）（建設業）,事業所数（民営）（製造業）,事業所数（民営）（電気・ガス・熱供給・水道業）,事業所数（民営）（情報通信業）,事業所数（民営）（運輸業、郵便業）,事業所数（民営）（卸売業、小売業）,事業所数（民営）（金融業、保険業）,事業所数（民営）（不動産業、物品賃貸業）,事業所数（民営）（学術研究、専門・技術サービス業）,事業所数（民営）（宿泊業、飲食サービス業）,事業所数（民営）（生活関連サービス業、娯楽業）,事業所数（民営）（教育、学習支援業）,事業所数（民営）（医療、福祉）,事業所数（民営）（複合サービス事業）,事業所数（民営）（サービス業（他に分類されないもの））,従業者数（民営）,従業者数（民営）（農業、林業）,従業者数（民営）（漁業）,従業者数（民営）（鉱業、採石業、砂利採取業）,従業者数（民営）（建設業）,従業者数（民営）（製造業）,従業者数（民営）（電気・ガス・熱供給・水道業）,従業者数（民営）（情報通信業）,従業者数（民営）（運輸業、郵便業）,従業者数（民営）（卸売業、小売業）,従業者数（民営）（金融業、保険業）,従業者数（民営）（不動産業、物品賃貸業）,従業者数（民営）（学術研究、専門・技術サービス業）,従業者数（民営）（宿泊業、飲食サービス業）,従業者数（民営）（生活関連サービス業、娯楽業）,従業者数（民営）（教育、学習支援業）,従業者数（民営）（医療、福祉）,従業者数（民営）（複合サービス事業）,従業者数（民営）（サービス業（他に分類されないもの））,農家数（販売農家）,農家数（自給的農家）,一般行政部門職員数（市区町村）,経常収支比率（市町村財政）,実質公債費比率（市町村財政）,歳入決算総額（市町村財政）,地方税（市町村財政）,歳出決算総額（市町村財政）,民生費（市町村財政）,土木費（市町村財政）,教育費（市町村財政）,災害復旧費（市町村財政）,幼稚園数,幼稚園在園者数,小学校数,小学校教員数,小学校児童数,中学校数,中学校教員数,中学校生徒数,義務教育学校数,義務教育学校教員数,義務教育学校前期課程児童数,義務教育学校後期課程生徒数,高等学校数,高等学校生徒数,就業者数,就業者数（男）,就業者数（女）,完全失業者数,完全失業者数（男）,完全失業者数（女）,非労働力人口,非労働力人口（男）,非労働力人口（女）,第１次産業就業者数,第２次産業就業者数,第３次産業就業者数,公民館数,図書館数,総人口（非水洗化人口＋水洗化人口）,非水洗化人口,小売店数,飲食店数,大型小売店数,一般病院数,一般診療所数,歯科診療所数,医師数,歯科医師数,薬剤師数,保育所等数（基本票）
R06402,山形県,白鷹町,12890,6357,6533,12769,6314,6455,1382,745,637,6515,3334,3181,4990,2276,2714,2588,1032,1556,121,43,245,174,228,4389,4371,12555,2198,932,1373,650,555,20,18,15771,5702,617,13,0,0,83,93,0,1,13,133,5,12,17,48,69,10,45,7,68,4641,110,0,0,476,1639,0,8,273,613,27,34,95,178,112,132,569,52,323,478,626,104,86.8,9.3,10691647,1175059,9651584,2276516,1070161,733728,739600,0,0,4,54,538,1,24,357,0,0,0,0,1,77,6654,3701,2953,166,108,58,4569,1739,2830,697,2439,3477,1,1,12791,1354,122,39,1,1,8,3,9,2,13,4
R06403,山形県,飯豊町,6613,3214,3399,6563,3199,3364,755,401,354,3300,1703,1597,2555,1108,1447,1362,486,876,48,25,120,117,136,2125,2117,6405,1020,413,619,252,271,9,6,32941,5425,282,16,0,0,37,36,1,0,4,59,4,3,7,32,31,3,17,6,26,2599,150,0,0,316,1162,1,0,58,291,6,13,18,177,68,10,217,33,79,463,99,82,85.6,12,7674206,667551,7201582,1399735,875885,1049608,44113,0,0,4,41,309,1,16,154,0,0,0,0,0,0,3610,2005,1605,93,61,32,2139,740,1399,595,1235,1756,64,0,6635,656,54,13,0,0,5,0,3,0,4,2
R06426,山形県,三川町,7601,3694,3907,7566,3680,3886,994,539,455,3929,2032,1897,2664,1115,1549,1437,491,946,30,42,110,149,218,2332,2319,7107,1164,456,555,229,221,26,8,3322,3322,449,14,0,0,64,32,3,1,10,129,7,8,13,39,46,8,29,6,40,4487,76,0,0,341,887,12,13,271,1314,56,53,57,284,211,41,696,50,125,366,69,66,80.9,10.6,6126156,981653,5810469,1374692,458838,824356,0,1,78,3,44,403,1,24,202,0,0,0,0,0,0,3902,2126,1776,102,67,35,2475,889,1586,565,1165,2147,2,0,7228,157,100,30,3,1,4,3,10,3,25,3
R06428,山形県,庄内町,20151,9636,10515,20041,9599,10442,2161,1103,1058,10362,5305,5057,7578,3199,4379,4057,1484,2573,106,81,336,326,509,6650,6636,19658,3225,1318,1890,754,744,67,14,24917,11065,815,24,0,3,120,100,1,1,12,183,8,12,21,73,109,9,63,16,60,6355,220,0,17,620,1467,12,12,289,955,125,35,90,229,261,26,1538,105,354,842,104,136,90.8,11,13756021,1965997,12908288,3248829,1774991,1695370,10311,4,203,5,68,847,2,48,498,0,0,0,0,1,171,10750,5784,4966,315,215,100,6824,2482,4342,1303,3125,6158,9,2,19981,732,155,59,2,1,9,6,27,11,14,3
R06461,山形県,遊佐町,13032,6189,6843,12967,6157,6810,1210,611,599,6312,3254,3058,5507,2322,3185,2882,1022,1860,65,45,272,168,252,4432,4417,12518,2178,923,1470,628,623,25,9,20839,9688,559,23,5,1,81,48,1,0,11,132,4,18,6,52,61,10,43,12,51,3653,396,42,8,355,606,2,0,134,684,24,36,15,220,129,43,707,85,167,400,411,105,82.6,9.9,11514199,1366302,10916506,2260741,1264641,1009925,0,0,0,1,31,452,1,22,285,0,0,0,0,1,64,6728,3614,3114,217,147,70,4824,1788,3036,1117,1803,3800,0,1,12852,1052,118,36,1,1,7,5,9,8,7,4
R07201,福島県,福島市,282693,138190,144503,275185,134285,140900,31136,15969,15167,160024,81311,78713,84304,36593,47711,43183,16798,26385,1772,1561,3757,7394,8093,121919,121655,274946,64310,44664,28664,14478,14344,977,376,76772,27421,11926,49,1,1,1143,628,32,124,210,2925,244,1004,625,1308,1070,339,1101,74,1048,126192,618,2,6,10198,17771,562,2080,4774,24898,4177,2981,3882,9876,4815,4504,21230,1048,12770,3094,1882,1405,86.4,1.4,143827662,39434470,133255557,52851228,11039263,14702049,579009,27,2221,45,857,12714,22,529,6702,0,0,0,0,15,8429,130741,72018,58723,5131,3256,1875,88452,32368,56084,5065,29226,91650,22,4,271405,13960,2204,1015,49,15,250,137,1212,198,766,55
R07202,福島県,会津若松市,117376,56063,61313,114836,54958,59878,13716,7018,6698,65104,32693,32411,36307,15185,21122,18859,6777,12082,738,657,1746,2963,3652,49022,48876,114348,24653,17320,11142,5444,6366,397,137,38297,14619,6055,39,1,4,603,416,14,59,88,1569,112,387,258,801,588,182,437,40,457,57757,422,2,35,4269,9797,414,573,2250,11970,1271,1256,1084,5741,2066,1843,9586,644,4534,1691,721,731,85.6,4.8,56966109,15094980,52626124,23706397,4564312,4731673,5896,2,32,19,367,5123,12,252,2980,1,39,353,189,9,3980,55742,29817,25925,2108,1344,764,34504,12326,22178,2507,13737,37089,10,1,114520,7867,1124,649,19,6,102,54,397,88,317,29
R07203,福島県,郡山市,327692,161830,165862,320053,157931,162122,39177,20023,19154,193417,98760,94657,86479,37650,48829,41984,16219,25765,2561,1989,3767,9070,9730,140441,140176,321025,72896,51719,28977,14025,13682,1309,541,75720,33381,15045,67,3,1,1774,785,22,137,372,3778,348,1315,815,1457,1302,448,1221,77,1123,162868,729,34,7,15047,20347,254,2281,9348,36534,4405,4614,5854,12556,6044,4872,21012,1414,17516,3566,1536,1609,80.3,2.7,164205175,50068908,155586109,51271253,17995819,17026852,7849616,30,4071,52,1032,15939,26,637,8180,2,48,279,129,13,9832,152474,84244,68230,6578,4062,2516,92601,33258,59343,4312,36152,105663,101,18,317992,6353,2386,1177,50,19,234,171,866,434,835,60
R07204,福島県,いわき市,332931,163525,169406,324313,159711,164602,37979,19513,18466,184720,95531,89189,102319,44397,57922,51554,19646,31908,2439,1749,4715,5550,6988,141411,141074,325237,75921,48725,34724,17210,18191,1114,507,123251,35277,13868,94,16,12,1721,991,35,100,348,3423,261,590,574,1551,1398,389,1249,95,1021,143648,1382,317,117,16753,26200,588,1260,8140,27263,2748,2277,4304,11392,5905,3006,19715,780,11501,3116,1844,1742,86,7.8,173401310,50575822,164135000,59144746,17716909,16003834,3374065,36,2216,65,1133,15478,41,720,7875,0,0,0,0,18,7309,147912,84196,63716,7852,5178,2674,109050,38581,70469,3704,45009,95906,37,6,325730,13786,2634,1221,48,20,246,153,618,227,795,69
R07205,福島県,白河市,59491,29681,29810,58275,29096,29179,6995,3555,3440,34109,17880,16229,17546,7741,9805,8658,3365,5293,574,300,749,1754,2183,23763,23728,58732,12238,7686,5416,2625,2565,199,82,30532,13213,2736,34,0,4,235,277,5,10,51,660,52,145,111,366,272,92,206,29,187,26994,388,0,27,1639,8185,47,41,1053,4906,588,430,558,1942,1168,513,2955,468,2086,1651,489,387,85.4,9.5,36728207,9164860,34929688,10002926,4021138,4400938,1003809,10,658,13,244,2856,8,152,1545,0,0,0,0,4,1791,29014,16471,12543,1211,774,437,18079,6595,11484,1806,10907,15857,10,4,58875,2397,521,295,7,2,48,35,148,50,127,12
