SSDSE-A-2025,Prefecture,Municipality,A1101,A110101,A110102,A1102,A110201,A110202,A1301,A130101,A130102,A1302,A130201,A130202,A1303,A130301,A130302,A1419,A141901,A141902,A1700,A4101,A4200,A5101,A5102,A7101,A710101,A710201,A810102,A810105,A811102,A8201,A8301,A9101,A9201,B1101,B1103,C2108,C210832,C210833,C210835,C210836,C210837,C210838,C210839,C210840,C210841,C210844,C210845,C210846,C210847,C210848,C210849,C210850,C210851,C210852,C2208,C220832,C220833,C220835,C220836,C220837,C220838,C220839,C220840,C220841,C220844,C220845,C220846,C220847,C220848,C220849,C220850,C220851,C220852,C310201,C310202,D1202,D2203,D2211,D3201,D320101,D3203,D320303,D320308,D320310,D320311,E1101,E1501,E2101,E2401,E2501,E3101,E3401,E3501,E3901,E3904,E3905,E3906,E4101,E4501,F1102,F110201,F110202,F1107,F110701,F110702,F1108,F110801,F110802,F2201,F2211,F2221,G1201,G1401,H5507,H550701,H6130,H6131,H6132,I510120,I5102,I5103,I6100,I6200,I6300,J250302
,,年度,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2022,2022,2023,2023,2020,2020,2020,2020,2020,2020,2020,2020,2022,2022,2023,2023,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2019,2019,2023,2021,2021,2021,2021,2021,2021,2021,2021,2021,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2022,2022,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022
地域コード,都道府県,市区町村,総人口,総人口（男）,総人口（女）,日本人人口,日本人人口（男）,日本人人口（女）,15歳未満人口,15歳未満人口（男）,15歳未満人口（女）,15〜64歳人口,15〜64歳人口（男）,15〜64歳人口（女）,65歳以上人口,65歳以上人口（男）,65歳以上人口（女）,75歳以上人口,75歳以上人口（男）,75歳以上人口（女）,外国人人口,出生数,死亡数,転入者数（日本人移動者）,転出者数（日本人移動者）,世帯数,一般世帯数,一般世帯人員数,核家族世帯数,単独世帯数,65歳以上の世帯員のいる核家族世帯数,夫65歳以上、妻60歳以上の夫婦のみの世帯数,65歳以上世帯員の単独世帯数,婚姻件数,離婚件数,総面積（北方地域及び竹島を除く）,可住地面積,事業所数（民営）,事業所数（民営）（農業、林業）,事業所数（民営）（漁業）,事業所数（民営）（鉱業、採石業、砂利採取業）,事業所数（民営）（建設業）,事業所数（民営）（製造業）,事業所数（民営）（電気・ガス・熱供給・水道業）,事業所数（民営）（情報通信業）,事業所数（民営）（運輸業、郵便業）,事業所数（民営）（卸売業、小売業）,事業所数（民営）（金融業、保険業）,事業所数（民営）（不動産業、物品賃貸業）,事業所数（民営）（学術研究、専門・技術サービス業）,事業所数（民営）（宿泊業、飲食サービス業）,事業所数（民営）（生活関連サービス業、娯楽業）,事業所数（民営）（教育、学習支援業）,事業所数（民営）（医療、福祉）,事業所数（民営）（複合サービス事業）,事業所数（民営）（サービス業（他に分類されないもの））,従業者数（民営）,従業者数（民営）（農業、林業）,従業者数（民営）（漁業）,従業者数（民営）（鉱業、採石業、砂利採取業）,従業者数（民営）（建設業）,従業者数（民営）（製造業）,従業者数（民営）（電気・ガス・熱供給・水道業）,従業者数（民営）（情報通信業）,従業者数（民営）（運輸業、郵便業）,従業者数（民営）（卸売業、小売業）,従業者数（民営）（金融業、保険業）,従業者数（民営）（不動産業、物品賃貸業）,従業者数（民営）（学術研究、専門・技術サービス業）,従業者数（民営）（宿泊業、飲食サービス業）,従業者数（民営）（生活関連サービス業、娯楽業）,従業者数（民営）（教育、学習支援業）,従業者数（民営）（医療、福祉）,従業者数（民営）（複合サービス事業）,従業者数（民営）（サービス業（他に分類されないもの））,農家数（販売農家）,農家数（自給的農家）,一般行政部門職員数（市区町村）,経常収支比率（市町村財政）,実質公債費比率（市町村財政）,歳入決算総額（市町村財政）,地方税（市町村財政）,歳出決算総額（市町村財政）,民生費（市町村財政）,土木費（市町村財政）,教育費（市町村財政）,災害復旧費（市町村財政）,幼稚園数,幼稚園在園者数,小学校数,小学校教員数,小学校児童数,中学校数,中学校教員数,中学校生徒数,義務教育学校数,義務教育学校教員数,義務教育学校前期課程児童数,義務教育学校後期課程生徒数,高等学校数,高等学校生徒数,就業者数,就業者数（男）,就業者数（女）,完全失業者数,完全失業者数（男）,完全失業者数（女）,非労働力人口,非労働力人口（男）,非労働力人口（女）,第１次産業就業者数,第２次産業就業者数,第３次産業就業者数,公民館数,図書館数,総人口（非水洗化人口＋水洗化人口）,非水洗化人口,小売店数,飲食店数,大型小売店数,一般病院数,一般診療所数,歯科診療所数,医師数,歯科医師数,薬剤師数,保育所等数（基本票）
R01100,北海道,札幌市,1973395,918682,1054713,1933094,897727,1035367,215366,110196,105170,1185724,566874,618850,541242,224966,316276,264920,98452,166468,12634,11172,23561,111776,102951,969161,967372,1916478,496691,422160,195527,110890,121789,8292,3455,112126,43879,72730,99,2,11,6908,2342,73,1690,1665,17071,1402,7262,4596,8789,5780,2169,7606,299,4966,872779,904,16,92,64664,36948,3822,36201,43590,189631,23892,34628,36358,76435,31747,32966,146115,6746,108024,347,280,7593,93,2.7,1295698111,334595895,1281258738,506761351,145031979,147080234,2413966,86,11879,201,5243,88100,106,3134,45821,1,22,63,37,51,40918,845953,445866,400087,41269,23450,17819,576925,192964,383961,3983,115924,697967,1,13,1973011,5971,10370,7354,348,173,1447,1191,6977,2115,5561,387
R01202,北海道,函館市,251084,113965,137119,248208,112718,135490,23560,11984,11576,134953,64971,69982,89257,35342,53915,45963,16118,29845,989,1080,4335,7302,8217,121793,121455,240342,62606,50901,30158,16719,22337,823,378,67787,12281,11362,21,29,2,1091,500,9,113,258,2909,242,798,433,1576,1143,334,1014,93,797,105260,151,369,12,8333,8295,329,1875,6280,22940,2958,2716,1873,11801,4592,3532,19196,1170,8838,146,132,1261,91.2,5.1,146534785,31267532,142484781,69833415,11744444,11623138,0,11,854,40,717,9225,22,433,5370,1,20,46,25,14,6054,109183,57529,51654,5592,3269,2323,86816,28978,57838,3202,17553,84172,1,1,245213,22594,2163,1256,41,26,203,122,825,183,696,53
R01203,北海道,小樽市,111299,50136,61163,109971,49441,60530,9169,4678,4491,55643,26790,28853,45426,18009,27417,24086,8559,15527,552,384,2044,2756,3165,52817,52615,106082,28930,20657,15757,8822,11095,263,135,24383,8528,5063,6,7,0,379,375,6,28,193,1457,77,188,135,721,434,116,523,36,382,47404,47,97,0,2410,7911,217,98,3165,9837,737,766,625,4112,2173,1273,9744,484,3708,54,58,705,91.6,5.7,68157351,13937289,66291831,27943355,7084348,3670883,0,11,527,17,328,3684,13,220,2142,0,0,0,0,7,2767,44785,23313,21472,2850,1689,1161,46101,16224,29877,619,7572,35719,0,1,107908,2050,1097,616,17,11,77,78,290,102,331,23
R01204,北海道,旭川市,329306,152108,177198,325287,150318,174969,34691,17797,16894,178060,85575,92485,112411,46768,65643,58032,22143,35889,1082,1612,5071,9250,9620,156195,155625,315003,86206,61540,39798,24072,24821,1203,532,74766,35018,14016,98,0,3,1370,668,13,118,356,3442,306,1058,525,1792,1287,328,1653,81,918,140107,1066,0,12,11599,10992,635,1070,7957,31626,3484,3380,3312,10989,5257,5191,28939,1590,13008,843,273,1570,89.3,8.3,193121176,39773268,185661269,85701040,16288374,12495216,69,26,1900,52,1220,13985,27,637,7531,0,0,0,0,13,8292,146321,77721,68600,6921,4052,2869,118878,41158,77720,3761,24253,114977,25,5,325039,7838,2409,1503,67,33,218,169,1339,254,853,72
R01205,北海道,室蘭市,82383,40390,41993,81658,39960,41698,7769,3916,3853,43398,23259,20139,30330,12565,17765,16418,6265,10153,380,388,1453,2586,3229,41766,41660,79836,20845,18890,10730,6481,7410,278,122,8101,4331,3633,1,0,0,405,204,5,31,120,874,90,243,118,531,295,74,289,24,329,38897,36,0,0,3987,6620,158,355,2550,6998,827,892,1827,2743,1027,1190,5792,335,3560,12,8,342,90.3,9.6,50411719,13114293,49517149,19624844,5867300,6765588,18426,8,671,9,224,2993,8,139,1595,0,0,0,0,6,2475,34733,20173,14560,1661,1128,533,33134,12133,21001,324,9155,24690,0,1,78227,1944,621,447,13,6,52,40,260,53,201,12
R01206,北海道,釧路市,165077,77506,87571,163026,76789,86237,16634,8495,8139,90595,44886,45709,56355,23465,32890,28354,10823,17531,815,705,2520,4803,5999,80349,80095,159067,42053,33385,19578,11513,13290,588,302,136326,31165,7775,35,19,11,659,328,22,51,281,1773,188,688,270,1221,734,211,647,45,592,66727,337,218,215,5450,5342,405,368,5996,13821,2132,1911,1429,6439,2881,1762,10961,452,6608,129,18,893,91,10.7,107647417,21028182,102901683,45009023,9654290,8699581,36459,24,1523,25,582,6088,15,322,3334,2,57,344,276,8,3832,69198,37549,31649,2878,1686,1192,56593,20000,36593,1511,12561,53046,1,5,161147,8447,1224,1030,24,15,80,84,379,109,379,26
R01207,北海道,帯広市,166536,79623,86913,165759,79211,86548,19073,9762,9311,96804,48097,48707,49000,20616,28384,24870,9548,15322,717,984,2251,6731,7236,80175,79933,160130,42007,33848,17351,10492,11065,759,289,61934,38130,8475,96,1,6,852,305,25,79,193,2116,200,517,373,1289,777,228,756,44,618,78389,1248,3,32,6963,5346,335,697,4249,18262,2228,2035,2463,7805,2871,1591,14690,290,7281,580,27,795,89.8,8.4,95602576,22543746,93255674,38162454,8444543,9981443,0,13,1493,25,598,7221,13,328,3765,1,51,339,152,8,4925,74554,40187,34367,2668,1541,1127,44613,15031,29582,3616,12675,54217,0,1,164378,3140,1431,1123,35,17,110,94,532,142,431,29
R01208,北海道,北見市,115480,54729,60751,114601,54346,60255,12014,6170,5844,63217,31713,31504,38841,16230,22611,20031,7673,12358,402,546,1733,3569,3720,55188,55024,111882,29872,21801,13824,8404,7846,348,209,142741,42794,5164,142,19,5,472,234,18,45,142,1333,111,343,168,658,437,104,474,41,418,49241,1185,261,43,4770,3235,244,699,2642,11528,1476,1203,948,4137,1976,1473,8285,553,4583,713,126,839,92.5,10.3,76823809,14207650,75436352,28216600,10065075,5986053,5,7,487,22,476,4830,13,276,2646,1,22,30,19,8,2667,49777,26904,22873,1832,1081,751,35130,12303,22827,3219,8212,36556,8,8,113453,3120,928,532,26,12,70,52,248,73,219,28
R01209,北海道,夕張市,7334,3381,3953,7247,3373,3874,411,199,212,3093,1609,1484,3828,1571,2257,2262,818,1444,87,14,175,163,295,3807,3790,6902,1811,1766,1216,735,1095,13,8,76307,11466,346,4,0,0,23,17,2,1,9,88,4,7,4,39,41,4,35,14,54,2241,36,0,0,213,394,14,1,113,374,20,12,16,209,92,32,435,102,178,111,18,88,118.9,68.3,11727241,900649,10924802,2533596,988577,417286,0,0,0,1,19,147,1,18,87,0,0,0,0,1,46,3085,1687,1398,242,157,85,3455,1265,2190,518,678,1880,0,1,6698,2829,84,29,0,0,5,4,8,7,17,3
R01210,北海道,岩見沢市,79306,37105,42201,79031,36970,42061,7859,3961,3898,42391,21004,21387,28880,12062,16818,15113,5691,9422,196,285,1261,2286,2557,35584,35476,76126,20315,12581,10037,5774,6056,212,94,48102,32071,3048,115,0,0,294,120,6,31,77,694,53,248,128,350,288,61,314,25,244,28556,852,0,0,2711,2771,148,132,1706,6660,560,649,633,2227,1181,431,5135,407,2353,854,166,402,98.2,9.4,56692520,8491660,56215712,17282429,7552998,4633214,0,5,535,14,284,3171,9,174,1756,0,0,0,0,4,2041,34045,18427,15618,1636,1037,599,29663,10443,19220,2695,6014,24329,0,2,77091,3329,545,286,12,5,59,48,174,60,134,17
R01211,北海道,網走市,35759,18060,17699,35429,17962,17467,3731,1932,1799,20405,11042,9363,11259,4818,6441,5595,2198,3397,321,181,500,1386,1791,17253,17193,34107,8505,7618,3977,2386,2383,126,53,47084,22983,1649,40,21,2,149,91,2,14,38,375,31,145,61,214,148,28,130,22,138,14426,579,239,5,1087,1635,74,179,642,2794,312,371,408,1586,544,415,2136,406,1014,305,18,253,90.9,16.9,32675692,4676237,32322288,7329946,3946125,2560262,22372,2,146,9,167,1393,6,100,783,0,0,0,0,2,838,16723,9393,7330,578,363,215,12233,4938,7295,2195,2555,11448,1,1,33550,1111,304,155,7,3,18,14,52,15,57,6
R01212,北海道,留萌市,20114,9649,10465,19940,9610,10330,1711,885,826,9981,5234,4747,7425,3002,4423,3944,1467,2477,134,76,339,806,1086,9816,9784,19120,4915,4121,2540,1559,1708,82,18,29781,3291,1041,6,2,2,97,33,4,8,40,275,25,56,35,136,100,12,86,10,114,7759,49,18,13,971,775,52,60,595,1794,230,219,168,525,366,67,1096,198,563,61,19,163,90.6,10.9,16335107,2220087,15750173,4118821,3275714,950934,495,2,133,5,91,678,2,42,365,0,0,0,0,1,448,9601,5469,4132,453,283,170,7079,2347,4732,315,1896,7344,1,1,18982,746,219,112,5,2,15,11,43,11,46,3
R01213,北海道,苫小牧市,170113,83522,86591,168873,82739,86134,20426,10593,9833,96847,49324,47523,50022,21637,28385,23635,9242,14393,722,946,2147,5341,5838,80130,79962,164852,44385,31627,18268,11128,11075,738,315,56166,23137,6856,14,3,5,861,323,26,34,459,1605,130,316,243,860,649,193,577,27,531,76995,463,18,92,7402,10974,765,471,8409,15068,1438,1515,1471,5826,3607,1656,10215,865,6740,34,19,781,87.8,6.6,89921181,27967740,87727276,38618612,9326027,9310498,0,8,976,22,587,8315,14,351,4348,1,20,42,24,7,3663,76046,43267,32779,2924,1714,1210,50281,16776,33505,1457,19227,52507,1,1,168640,296,1109,677,27,10,94,73,337,105,303,28
R01214,北海道,稚内市,33563,16651,16912,33083,16509,16574,3484,1806,1678,18920,10016,8904,11025,4739,6286,5458,2105,3353,435,156,476,1125,1523,16060,15944,32492,8397,6492,4004,2303,2454,118,57,76142,32075,1719,17,34,3,167,111,6,13,47,406,47,105,49,252,162,25,95,22,158,13861,143,285,28,1698,1764,76,128,946,3029,376,271,298,1259,609,237,1203,414,1097,135,4,213,87.4,10.6,31477615,4470657,31073988,6750451,3538380,2845532,59635,4,203,11,152,1313,7,95,678,0,0,0,0,2,780,16459,9610,6849,831,525,306,10760,3610,7150,1407,3525,11265,0,1,31811,636,276,203,5,3,15,10,49,12,53,6
R01215,北海道,美唄市,20413,9565,10848,20343,9527,10816,1539,813,726,10169,5143,5026,8642,3575,5067,4739,1786,2953,44,60,419,484,651,9434,9359,19238,5004,3617,2842,1665,2122,51,30,27769,15755,890,42,0,4,108,57,3,4,32,184,14,62,13,99,85,20,62,14,87,7148,197,0,36,871,780,27,28,501,1130,93,136,128,550,362,175,1420,290,424,486,74,204,96,12.4,19134481,2041005,18767277,5362465,2478145,1104327,0,2,93,2,48,573,2,33,344,0,0,0,0,2,449,9257,5086,4171,358,233,125,8632,3111,5521,1204,1927,5948,4,1,19332,2919,160,77,2,3,11,13,43,18,33,4
R01216,北海道,芦別市,12555,5762,6793,12536,5758,6778,845,435,410,5705,2854,2851,5995,2464,3531,3412,1304,2108,17,34,338,287,424,6055,6021,11914,3377,2241,2047,1258,1439,32,10,86504,14122,563,22,0,2,43,37,2,2,10,125,13,21,4,71,67,11,50,12,71,4222,230,0,46,306,1115,13,2,172,724,54,35,15,223,227,57,618,80,305,203,41,157,92.2,5.3,12332531,1366569,11845807,3425521,1420578,898313,0,1,89,2,42,326,2,29,192,0,0,0,0,1,150,5308,2863,2445,313,203,110,5682,2054,3628,547,1443,3292,0,1,11790,1343,106,61,1,2,4,8,12,9,23,1
R01217,北海道,江別市,121056,57523,63533,119589,56702,62887,13400,6786,6614,69555,34012,35543,36783,15876,20907,18112,7027,11085,635,616,1504,4405,4087,53977,53869,117451,32535,18549,14241,8373,6686,268,174,18738,16819,3257,43,0,0,388,148,5,23,103,716,38,196,116,326,311,172,456,19,197,33682,510,0,0,2555,3758,72,717,2341,7453,350,590,667,2356,1302,2509,6181,352,1969,304,31,498,87.5,5.6,56610753,12670673,55077207,22854098,6792797,4502241,0,5,641,17,430,5821,9,271,3481,0,0,0,0,5,3633,53400,28888,24512,2506,1551,955,42623,15420,27203,1480,9256,40708,3,4,119333,1078,574,267,22,5,72,63,149,60,183,25
R01218,北海道,赤平市,9698,4388,5310,9631,4355,5276,603,299,304,4280,2139,2141,4669,1878,2791,2624,979,1645,67,27,296,200,283,4494,4463,8623,2307,1831,1420,860,1131,21,7,12988,3727,393,8,0,1,40,31,0,1,14,101,7,7,5,43,50,2,36,8,39,3949,74,0,12,412,1047,0,2,240,488,45,26,16,132,312,4,937,39,163,68,11,111,92.8,11.4,13262442,818583,12699564,2812402,1527737,3063652,0,1,21,1,31,249,1,19,142,0,0,0,0,0,0,4045,2163,1882,215,143,72,4683,1707,2976,182,1066,2784,2,1,9098,1552,90,36,1,2,3,5,23,6,22,2
R01219,北海道,紋別市,21215,9901,11314,20674,9803,10871,1971,992,979,11515,5782,5733,7697,3104,4593,4066,1474,2592,529,82,298,663,850,11214,11192,20546,5502,5326,2657,1722,2209,73,22,83067,17777,1257,23,4,0,112,98,4,10,47,307,28,79,38,196,115,21,60,14,101,9072,252,51,0,881,1764,36,97,581,2037,162,155,186,854,351,124,911,130,500,70,9,197,85,9.7,42580832,2981851,41863459,6027702,3292674,2440634,10699,1,41,6,108,758,3,49,383,0,0,0,0,1,414,9688,5172,4516,381,242,139,6990,2330,4660,949,2392,6288,3,1,20792,1553,215,164,3,3,9,10,34,15,31,5
R01220,北海道,士別市,17858,8416,9442,17756,8349,9407,1652,855,797,8803,4490,4313,7350,3044,4306,4118,1590,2528,76,57,301,369,589,8184,8157,17188,4660,2849,2510,1638,1467,38,24,111922,28428,946,50,0,3,95,49,2,3,21,210,16,45,26,139,86,21,75,16,89,6995,493,0,16,1076,482,7,20,356,1435,114,106,268,519,230,66,715,142,950,467,57,216,92.7,14.2,17963960,2176379,17262267,4332223,1535789,1374214,0,3,105,6,88,603,4,61,361,0,0,0,0,2,342,8810,4916,3894,225,151,74,6195,2041,4154,1481,1525,5454,16,2,17133,936,166,110,3,1,12,8,21,9,29,3
R01221,北海道,名寄市,27282,13322,13960,27014,13167,13847,3018,1561,1457,15232,7893,7339,8747,3682,5065,4754,1846,2908,50,161,372,1068,1519,12810,12725,25708,6650,5303,3076,1917,1822,131,45,53486,20022,1313,29,0,1,95,45,4,9,41,317,39,133,33,195,131,30,98,13,100,9950,211,0,13,797,558,76,63,724,2537,342,250,168,1035,441,238,1337,223,937,473,107,255,90,10.2,24203040,3097814,23739090,6172121,2510293,3226222,358,3,265,7,131,1130,4,70,557,0,0,0,0,2,373,13689,7763,5926,290,180,110,8871,3033,5838,1367,1519,10479,19,2,26190,868,252,163,3,4,10,15,87,23,56,5
R01222,北海道,三笠市,8040,3631,4409,8025,3621,4404,655,315,340,3566,1845,1721,3819,1471,2348,2253,779,1474,15,31,199,209,322,3816,3799,7465,1994,1583,1185,648,1037,18,10,30252,5849,352,11,0,1,40,27,2,0,9,100,3,9,2,37,39,1,22,7,42,2925,119,0,13,328,504,11,0,112,784,11,55,6,197,112,1,387,33,252,55,14,114,92.9,9.2,11435792,837265,11249951,2549706,1203970,842703,0,0,0,2,33,247,2,28,138,0,0,0,0,1,96,3147,1729,1418,258,190,68,3875,1340,2535,233,658,2238,1,1,7800,2027,88,28,2,2,4,3,10,3,13,2
R01223,北海道,根室市,24636,11762,12874,24249,11666,12583,2396,1217,1179,13370,6832,6538,8648,3550,5098,4569,1694,2875,306,109,443,585,976,11153,11133,23883,5841,4201,2969,1634,1757,73,35,40781,20571,1323,17,45,0,97,145,4,10,32,328,29,53,26,192,142,22,60,19,102,9552,138,361,0,621,2163,26,30,369,2258,321,212,134,707,387,105,848,338,534,86,1,240,84.6,8.5,46024885,2867154,44894752,5346476,1921867,2399233,933,2,157,6,108,833,4,67,418,2,48,108,63,1,468,12722,7022,5700,351,224,127,7879,2616,5263,2438,2600,7261,4,1,23291,5705,233,153,4,1,7,9,33,12,29,7
R01224,北海道,千歳市,97950,49790,48160,97223,49450,47773,13012,6681,6331,62066,32906,29160,22690,10088,12602,10977,4484,6493,704,678,952,5813,5418,43809,43635,92889,24584,17068,8652,4970,4583,469,189,59450,19754,3135,42,2,1,249,156,3,20,159,789,56,152,88,528,304,102,268,16,200,42200,719,16,16,2375,7389,67,103,5151,7559,539,1049,559,4326,2186,1167,3919,300,4760,173,41,514,85.8,7.7,61210462,16659259,59938776,17764598,5544449,10995400,0,8,1067,18,379,5265,9,191,2668,0,0,0,0,2,1353,47913,28274,19639,1819,1064,755,26916,9257,17659,1606,8585,36424,12,1,97665,1296,634,446,15,5,56,43,145,62,135,18
R01225,北海道,滝川市,39490,18832,20658,39013,18548,20465,3995,2104,1891,21161,10702,10459,13821,5682,8139,7223,2735,4488,109,172,683,1565,1884,18688,18636,37549,10324,7369,4799,2961,3114,152,66,11590,10282,1690,16,0,1,181,55,2,9,45,407,41,96,62,249,186,44,146,13,137,13602,114,0,1,1547,673,58,111,763,3359,404,315,385,1255,692,321,2408,284,912,273,65,251,88,8.5,26092199,4279914,24979676,8063994,2487355,2111187,0,2,228,6,139,1497,3,79,850,0,0,0,0,3,1381,18184,9981,8203,618,387,231,13077,4494,8583,823,3119,13571,1,1,38259,4596,321,215,5,4,24,24,90,33,96,5
R01226,北海道,砂川市,16486,7607,8879,16450,7588,8862,1388,682,706,8138,3985,4153,6404,2640,3764,3548,1346,2202,29,82,286,533,648,7599,7572,15713,4268,2705,2249,1359,1311,51,18,7868,4997,758,7,0,1,83,34,3,2,26,195,13,37,19,113,71,13,70,6,65,7242,28,0,2,851,702,158,4,451,1852,94,174,69,447,299,52,799,112,1148,169,24,168,81.8,5.1,15386710,1976318,14561837,3620633,2561205,939535,0,1,69,5,74,531,1,25,335,0,0,0,0,1,160,7444,3985,3459,391,258,133,6676,2369,4307,377,1746,5289,1,1,15977,420,145,92,4,1,7,8,110,13,69,3
R01227,北海道,歌志内市,2989,1399,1590,2979,1393,1586,142,80,62,1252,659,593,1592,658,934,888,318,570,10,4,91,77,140,1424,1417,2674,727,608,485,282,376,6,5,5595,1402,111,1,0,2,15,4,0,1,6,22,3,1,0,8,10,2,11,3,22,656,4,0,32,87,42,0,3,68,74,9,2,0,30,55,2,164,9,75,1,0,74,89.7,9.5,4742744,185733,4422568,1167167,564610,301814,1386,0,0,0,0,0,0,0,0,1,22,42,28,0,0,1150,642,508,70,55,15,1624,620,1004,21,292,834,0,1,2817,117,20,3,0,1,3,1,2,1,5,1
R01228,北海道,深川市,20039,9362,10677,19927,9311,10616,1634,853,781,9802,4981,4821,8544,3482,5062,4873,1831,3042,110,69,359,580,677,9198,9161,18768,5028,3438,2817,1814,1574,40,25,52942,21492,989,57,0,1,76,38,5,4,26,240,19,54,34,133,100,21,81,13,87,7374,438,0,6,601,378,39,11,342,1594,187,113,254,632,345,231,1442,169,592,542,152,190,80,14.3,18372998,2145532,17907745,4518179,2081011,1122033,108,2,74,6,86,681,2,39,354,0,0,0,0,2,317,9324,4982,4342,266,176,90,8161,3001,5160,1539,1154,6388,7,1,19227,1813,200,108,5,3,14,11,60,17,41,8
R01229,北海道,富良野市,21131,9947,11184,20825,9818,11007,2211,1126,1085,11512,5645,5867,7255,3073,4182,3933,1515,2418,224,102,302,664,948,9538,9502,20099,5109,3630,2388,1480,1306,75,33,60071,19751,1107,45,0,1,73,40,3,3,26,278,21,80,28,212,96,26,78,11,86,9386,563,0,6,901,507,41,5,588,1899,170,168,95,1266,297,143,1717,333,687,546,15,190,78.4,7.2,20978219,2520659,20283171,4822390,1758172,1688624,0,4,284,7,113,807,4,56,471,1,20,22,11,2,532,10779,5715,5064,311,186,125,6904,2395,4509,2188,1201,7250,2,1,19923,1551,233,145,2,2,11,13,43,17,54,1
R01230,北海道,登別市,46391,22146,24245,46118,22023,24095,4775,2480,2295,24170,12215,11955,17287,7373,9914,9013,3563,5450,167,191,734,1401,1698,20928,20885,44369,12520,7123,6319,3906,3433,131,75,21221,3853,1511,9,1,0,226,69,1,5,43,342,20,100,37,204,168,46,126,12,102,13083,57,5,0,1449,982,9,26,657,2761,103,272,110,2098,603,335,2426,142,1048,27,9,271,91.2,11.4,25122097,4896692,24266487,9751061,2839068,1838175,27668,4,424,8,155,1838,5,90,888,0,0,0,0,1,322,20102,11247,8855,892,554,338,18341,6656,11685,256,4946,14750,2,2,45453,1912,277,149,6,6,17,21,54,25,46,5
R01231,北海道,恵庭市,70331,34088,36243,69840,33832,36008,8701,4476,4225,41413,20687,20726,19673,8560,11113,9795,3882,5913,438,424,787,3248,2791,30276,30172,67695,18394,9980,7456,4260,3359,226,93,29465,9793,1883,23,0,2,184,116,4,6,77,404,33,122,66,208,222,84,207,13,112,23164,411,0,15,1461,4901,30,50,1490,4592,243,339,315,1750,1260,1015,3826,199,1267,165,92,329,90.3,5.2,37633841,8311941,35991324,12115738,4342100,3986909,0,5,702,8,233,3608,5,140,1909,0,0,0,0,3,1846,32273,18120,14153,1562,948,614,23761,8280,15481,1277,6715,23833,1,3,70332,610,329,162,13,5,35,35,120,48,135,11
R01233,北海道,伊達市,32826,15176,17650,32644,15144,17500,3355,1714,1641,16832,8168,8664,12601,5268,7333,6740,2581,4159,180,133,566,955,1139,14844,14746,30680,8567,5327,4369,2731,2569,101,54,44421,13075,1303,33,4,0,112,52,3,6,24,297,25,115,39,184,132,27,145,12,93,11555,322,52,0,845,796,131,19,504,2213,251,257,182,1083,680,103,3246,306,565,318,64,234,83.4,4.6,21423030,3847529,20139566,7397406,1868435,1971600,959,2,205,6,122,1290,3,65,739,1,10,15,4,1,573,14832,7709,7123,545,338,207,12352,4572,7780,1401,2483,10496,0,2,32118,4058,254,132,3,2,28,19,69,19,62,8
R01234,北海道,北広島市,58171,27763,30408,57695,27517,30178,6395,3267,3128,32140,15829,16311,19380,8514,10866,9376,3876,5500,369,235,758,2134,2099,24640,24548,55757,16375,6964,7560,4608,3198,120,84,11905,7476,1834,19,0,1,204,117,3,10,149,526,17,85,59,112,125,47,205,11,144,23528,162,0,4,1359,3290,34,20,4025,5378,169,569,243,899,1610,670,3604,143,1349,89,50,313,89.5,7.4,32396963,7941529,31611263,11086751,6838482,3169698,258665,6,514,9,192,2717,8,162,1758,0,0,0,0,3,2400,25226,13766,11460,1148,718,430,21015,7712,13303,536,4296,19696,2,5,57483,902,376,83,11,5,35,29,57,41,91,12
R01235,北海道,石狩市,56869,27324,29545,56418,27146,29272,6821,3502,3319,30645,15273,15372,19402,8549,10853,8958,3614,5344,451,282,783,1859,1729,23102,23038,55320,15376,5868,7379,4217,3010,118,103,72233,19840,2160,20,10,2,346,216,3,15,180,462,21,66,51,163,154,37,207,22,185,27910,176,90,12,2466,4686,22,153,5644,5551,108,419,413,901,1575,758,3118,253,1565,283,58,358,93.2,6.8,35365904,8967312,34730013,13080029,4607823,3163109,0,0,0,9,214,2860,6,134,1577,1,15,24,12,2,1716,23568,13000,10568,996,632,364,18287,6486,11801,978,5577,16052,4,4,57984,2756,273,126,7,4,27,22,57,30,87,14
